entity_name,location,address,phone,email,website,profile_url,category_names_str,service_names_str,source_url
Les Bontés de la Vallée,"Havelock, Québec","300 Rang St-Charles, Havelock, Québec, J0S 2C0",438-883-2401,info@lesbontes.org,www.lesbontes.org,https://regenerationcanada.org/en/les-bontes-de-la-vallee/,,,https://regenerationcanada.org/en/map/
Domaine du Bocage,"Saint-Ferréol-les-Neiges, Québec","363 Rang Saint-Nicolas, Saint-Ferréol-Les-Neiges, Québec, G0A 3R0",418-826-0108,domainedubocage@hotmail.com,www.domainedubocage.org,https://regenerationcanada.org/en/domaine-du-bocage/,,,https://regenerationcanada.org/en/map/
CRB Farms Ltd,"Rose Valley, Saskatchewan","RR#1, Rose Valley, Saskatchewan, S0E1M0",3068748194,cbeaudry@sasktel.net,,https://regenerationcanada.org/en/crb-farms-ltd/,,,https://regenerationcanada.org/en/map/
Wilderland Botanicals,"Whitehorse, Yukon","53A Linville Road, 10495, Whitehorse, Yukon, Y1A 7A1",867-993-3698,info@wilderlandbotanicals.com,wilderlandbotanicals.com,https://regenerationcanada.org/en/wilderland-botanicals/,,,https://regenerationcanada.org/en/map/
La Ferme Végétale,"labrecque, Quebec","4700 9e rang ouest, labrecque, Quebec, G0W 1Y0",4186906001,lafermevegetale@hotmail.com,lafermevegetale.ca,https://regenerationcanada.org/en/la-ferme-vegetale/,,,https://regenerationcanada.org/en/map/
Stony Hill Farm,"Oakbank, Manitoba","26042 Hillside Road, Oakbank, Manitoba, R5N 0G6",204-296-6265,brenda@sustainablegrain.ca,stonyhillfarm.ca,https://regenerationcanada.org/en/stony-hill-farm/,,,https://regenerationcanada.org/en/map/
Juniper,"Wakefield, quebec","375 Shouldice Rd, Wakefield, quebec, J0X 3G0",819-459-1630,info@juniperfarm.ca,juniperfarm.ca,https://regenerationcanada.org/en/juniper/,,,https://regenerationcanada.org/en/map/
Kettle Ridge Organics,"Alix, Alberta","Box 670, Alix, Alberta, T0C 0B0",403-396-1794,chris@kettleridgeorganics.ca,www.kettleridgeorganics.ca,https://regenerationcanada.org/en/kettle-ridge-organics/,,,https://regenerationcanada.org/en/map/
Scorched Earth Vineyard & Winery,"Kelowna, British Columbia","6007 Lakeshore Rd, Kelowna, British Columbia, V1W 4J5",250-717-7994,info@scorchedearthwinery.ca,www.scorchedearthwinery.ca,https://regenerationcanada.org/en/scorched-earth-vineyard-winery/,,,https://regenerationcanada.org/en/map/
Howpark Farms,"Brandon, Manitoba","R.R. #4 Box 25, Brandon, Manitoba, R7A 5Y4",204-725-1006,info@howpark.ca,www.howpark.ca,https://regenerationcanada.org/en/howpark-farms/,,,https://regenerationcanada.org/en/map/
Boule Creek Farms,"Admiral, Saskatchewan","Box 43, Admiral, Saskatchewan, S0N 0B0",,farmerleyen@gmail.com,,https://regenerationcanada.org/en/boule-creek-farms/,,,https://regenerationcanada.org/en/map/
Rustik Bison,"Saint-Herménégilde, Quebec / Québec","1248 Chemin Caron, Saint-Herménégilde, Québec, J0B 2W0",8193497023,anoukcaron@rustikbison.ca,rustikbison.com,https://regenerationcanada.org/en/rustik-bison/,,,https://regenerationcanada.org/en/map/
Morgan Creek Farm,"Nanaimo, British Columbia","2377 East Wellington Rd, Nanaimo, British Columbia, V9R 6V7",250-616-9787,aaron-grant@shaw.ca,fb.com/Morgan-Creek-Farm-277538379293864/,https://regenerationcanada.org/en/morgan-creek-farm/,,,https://regenerationcanada.org/en/map/
Vignoble de la Bauge,"Brigham, Québec","155, des Érables, Brigham, Québec, J2K 4E1",450-525-2149,vignoble.labauge@gmail.com,labauge.com,https://regenerationcanada.org/en/vignoble-de-la-bauge/,,,https://regenerationcanada.org/en/map/
Little Fields Farm,"Bright, Ontario","867207 Township Road 10, Bright, Ontario, N0J1B0",226-927-4440,claire@littlefields.farm,www.littlefields.farm,https://regenerationcanada.org/en/little-fields-farm/,,,https://regenerationcanada.org/en/map/
Southbrook Vineyards,"Niagara on the Lake, Ontario","581 Niagara Stone Road, Niagara on the Lake, Ontario, L0S 1J0",905-380-9095,info@southbrook.com,www.southbrook.com,https://regenerationcanada.org/en/southbrook-vineyard/,,,https://regenerationcanada.org/en/map/
Riverdale Farm & Forest Inc.,"Inglewood, ON, CA","15707 McLaughlin Rd, Inglewood, Ontario, L7C 1N2, Canada",905-588-0085,,riverdalefarmandforest.ca,https://regenerationcanada.org/en/riverdale-farm-forest-inc/,,,https://regenerationcanada.org/en/map/
Tawse Family Vineyards,"Vineland, Ontario","3955 Cherry Ave, Vineland, Ontario, L0R 2C0",9055629500,info@tawsewinery.ca,tawsewinery.ca,https://regenerationcanada.org/en/tawse-family-vineyards/,,,https://regenerationcanada.org/en/map/
Red Roof Farm,"Creemore, ON","2616 Fairgrounds Road South, Creemore, ON, L0M 1G0",4164584701,branigan.monica@gmail.com,,https://regenerationcanada.org/en/red-roof-farm/,,,https://regenerationcanada.org/en/map/
Ferme Desrosiers,"St-Albert, Ontario","1976 Route 600 West, St-Albert, Ontario, K0A 3C0",613-443-3072,info@dtalign.ca,,https://regenerationcanada.org/en/ferme-desrosiers/,,,https://regenerationcanada.org/en/map/
Heartwood Farm & Cidery,"Acton, Ontario","5438 2nd Line Erin, Acton, Ontario, L7J 2L9",416-527-4432,info@heartwoodfarm.ca,www.heartwoodfarm.ca,https://regenerationcanada.org/en/heartwood-farm-cidery/,,,https://regenerationcanada.org/en/map/
Millefolia - Ferme Biologique,"Sainte-Ursule, Québec","3170 rang Fontarabie, Sainte-Ursule, Québec, J0K3M0",,info@terramillefolia.com,terramillefolia.com,https://regenerationcanada.org/en/ferme-terra-millefolia/,,,https://regenerationcanada.org/en/map/
Icellars Estate Winery,"Niagara-on-the-Lake, Ontario","615 Concession 5 Rd, Niagara-on-the-Lake, Ontario, L0S1J0",2894795969,info@icellars.ca,icellars.ca,https://regenerationcanada.org/en/icellars-estate-winery/,,,https://regenerationcanada.org/en/map/
Ferme Au Bon Vieux Temps,"Cap-Santé, Québec","112 rue Gauthier, Cap-Santé, Québec, G0A1L0",,panier.capsante@gmail.com,facebook.com/panier.capsante,https://regenerationcanada.org/en/ferme-au-bon-vieux-temps/,,,https://regenerationcanada.org/en/map/
Rubber Boot Farm,"Timmins, Ontario","209 Jaguar Drive, Timmins, Ontario, P4R 0G9",705-365-0770,rubberboot.farm@gmail.com,facebook.com/RubberBootFarm,https://regenerationcanada.org/en/rubber-boot-farm/,,,https://regenerationcanada.org/en/map/
Barnyard Organics Ltd,"Freetown, PEI","1934 North Freetown Road, Freetown, PEI, C0B1M0",902-887-3188,info@barnyardorganics.com,barnyardorganics.com,https://regenerationcanada.org/en/barnyard-organics-ltd/,,,https://regenerationcanada.org/en/map/
Just Food Community Farm,"Gloucester, Ontario","2391 Pepin Court, Gloucester, Ontario, K1B 4Z3",613-824-7771,info@justfood.ca,justfood.ca,https://regenerationcanada.org/en/just-food-community-farm/,,,https://regenerationcanada.org/en/map/
Snowy Mountain Farm,"Cawston, British Columbia","1050 Chopaka Road, Cawston, BC, V0X1C3",2504992115,snowymountainfarm@gmail.com,snowymountainfarm.com,https://regenerationcanada.org/en/snowy-mountain-farm/,,,https://regenerationcanada.org/en/map/
Clearview Farms Inc,"Radville, Saskatchewan","Box 854, Radville, Saskatchewan, S0C2G0",306-869-7136,cr.galarneau@sasktel.net,,https://regenerationcanada.org/en/clearview-farms-inc/,,,https://regenerationcanada.org/en/map/
Mans Organics,"Coaldale, Alberta","102040 Range Road 200, Coaldale, Alberta, T1M 1M7",,mail@mansorganics.ca,mansorganics.ca,https://regenerationcanada.org/en/mans-organics/,,,https://regenerationcanada.org/en/map/
Ravenwood Farm,"Groundbirch, BC","Box 181, Groundbirch, BC, V0C 1T0",7886919905,ravenwoodfarmbc@xplornet.ca,ravenwoodfarm.ca,https://regenerationcanada.org/en/ravenwood-farm/,,,https://regenerationcanada.org/en/map/
Grassroots Farm,"Rupert, Québec","700 Chemin des Érables, Rupert, Québec, J0X 1A0",613-315-9280,,Grassrootsfarm.ca,https://regenerationcanada.org/en/grassroots-farm/,,,https://regenerationcanada.org/en/map/
Grip-Fast Farms,"Binscarth, MB","Box 101, Binscarth, MB, R0J 0G0",204-773-6237,gripfastfarm@gmail.com,gripfastfarms.eatfromfarms.com,https://regenerationcanada.org/en/grip-fast-farms/,,,https://regenerationcanada.org/en/map/
Lost Savanna Farm,"Black Creek, BC","7521 Sturgess Rd., Black Creek, BC, V9J 1G7",250-202-2729,lostsavannafarm@gmail.com,lostsavannafarm.com,https://regenerationcanada.org/en/lost-savanna-farm/,,,https://regenerationcanada.org/en/map/
Nature\'s Apprentice Farm,"Pakenham, Ontario","112 Lynx Hollow Rd, Pakenham, Ontario, K0A2X0",613-255-5509,naturesapprenticefarm@gmail.com,naturesapprenticefarm.ca,https://regenerationcanada.org/en/natures-apprentice-farm/,,,https://regenerationcanada.org/en/map/
Cold Springs Organics,"Campbellcroft, Ontario","8869 Spruce Grove Road, Campbellcroft, Ontario, L0A1B0",4162099196,coldspringsorganics@gmail.com,coldspringsorganics.com,https://regenerationcanada.org/en/cold-springs-organics/,,,https://regenerationcanada.org/en/map/
St. Brigid\'s Creamery Ltd.,"Brussels, Ontario","42352 Brandon Rd., Brussels, Ontario, N0G 1H0",,info@stbrigidscreamery.ca,stbrigidscreamery.ca,https://regenerationcanada.org/en/st-brigids-creamery-ltd/,,,https://regenerationcanada.org/en/map/
Tru Pure Farms,"ST. Catharines, ON","1379 President CT, ST. Catharines, ON, L2R6P9",905-641-8133,info@stangls.com,,https://regenerationcanada.org/en/tru-pure-farms/,,,https://regenerationcanada.org/en/map/
First Nature Farms,"Goodfare, AB","Box 123, Goodfare, AB, T0H1T0",780 356-2239,jerrykitt@gmail.com,firstnaturefarms.ab.ca,https://regenerationcanada.org/en/first-nature-farms/,,,https://regenerationcanada.org/en/map/
Leaf & Lyre Urban Farms,"Calgary, AB, CA","4607 81 St NW, Calgary, Alberta, T3B 2P5, Canada",403-703-3217,rod.olson@gmail.com,leafandlyre.net,https://regenerationcanada.org/en/leaf-lyre-urban-farms/,,,https://regenerationcanada.org/en/map/
Rosengren Farms,"Midale, Saskatchewan","Box 540, Midale, Saskatchewan, S0C 1S0",306-458-7792,colin@rosengrenfarms.com,,https://regenerationcanada.org/en/rosengren-farms/,,,https://regenerationcanada.org/en/map/
Nature’s Way Farm,"Grimshaw, AB","Box 1258, Grimshaw, AB, T0H 1W0",780-338-2934,plundgard@telus.net,,https://regenerationcanada.org/en/natures-way-farm/,,,https://regenerationcanada.org/en/map/
Integrated Farms,"Coldwater, Ontario","5091 Line 10 N, Coldwater, Ontario, L0K1E0",7058350551,info@ifarmfresh.ca,info@ifarmfresh.ca,https://regenerationcanada.org/en/integrated-farms/,,,https://regenerationcanada.org/en/map/
Jenovic Farms,"Vankleek Hill, Ontario","3225 Stardale Road West, Vankleek Hill, Ontario, K0B 1R0",306-572-9055,ludsfarms@hotmail.com,,https://regenerationcanada.org/en/jenovic-farms/,,,https://regenerationcanada.org/en/map/
Wholesome Pastures,"Crediton, ON","69709 Parr Line, Crediton, ON, N0M 1M0",519-933-3501,wholesomepastures@gmail.com,wholesomepastures.ca,https://regenerationcanada.org/en/wholesome-pastures/,,,https://regenerationcanada.org/en/map/
Mon Panier Bio,"Saint-Félix-de-Valois, Québec","330 Rang des Forges E, Saint-Félix-de-Valois, Québec J0K 2M0",450-889-8680,info@monpanierbio.com,www.monpanierbio.com,https://regenerationcanada.org/en/mon-panier-bio_/,,,https://regenerationcanada.org/en/map/
Le bison des plaines,"Laurier, MB","Bisons des Plaines, Laurier, MB, R0J1A0",2048352302,cjsaquet@ymail.com,,https://regenerationcanada.org/en/le-bison-des-plaines/,,,https://regenerationcanada.org/en/map/
Highfield Regenerative Farm,"Calgary, Alberta","1920 Highfield Crescent SE, Calgary, Alberta, T2G 5M1",403-605-6669,highfieldregenerativefarm@gmail.com,www.highfieldfarm.ca,https://regenerationcanada.org/en/highfield-regenerative-farm/,,,https://regenerationcanada.org/en/map/
Grazing Days Farm,"St-André-Avellin, Quebec","567 rang Ste Julie Est, St-André-Avellin, Quebec, J0V 1W0",613-898-9136,info@grazingdays.ca,grazingdays.ca,https://regenerationcanada.org/en/grazing-days-farm/,,,https://regenerationcanada.org/en/map/
Vignoble Pigeon Hill,"St-Armand, QC","395 chemin des erables, St-Armand, QC, J0J 1T0",450-248-2531,rousseaushufelt@hotmail.com,vignoblepigeonhill.com,https://regenerationcanada.org/en/vignoble-pigeon-hill/,,,https://regenerationcanada.org/en/map/
Schill Family Farm - Organics,"Balcarres, Saskatchewan","NE 19-21-12 W2, Balcarres, Saskatchewan, S0G 0C0",3063317858,schillfamilyfarm@outlook.com,,https://regenerationcanada.org/en/schill-family-farm-organics/,,,https://regenerationcanada.org/en/map/
Joyfully Organic Farm,"Markham, Ontario","Markham, Ontario",,info@joyfullyorganicfarm.ca,joyfullyorganicfarm.ca,https://regenerationcanada.org/en/joyfully-organic-farm/,,,https://regenerationcanada.org/en/map/
Nerbas Bros. Angus,"Shellmouth, Manitoba","Box 6, Shellmouth, Manitoba, R0J 1Y0",204-773-6800,agnerbas@gmail.com,www.nerbasbrosangus.com,https://regenerationcanada.org/en/nerbas-bros-angus/,,,https://regenerationcanada.org/en/map/
Hodgins Farm,"Lenore, Manitoba","Box 925, Lenore, Manitoba, R0M 1E0",204-838-2285,hodgins_lisa@hotmail.com,https://www.hodginsfarm.com/,https://regenerationcanada.org/en/hodgins-farm/,,,https://regenerationcanada.org/en/map/
W Diamond Ranch,"TELKWA, BC","13380 LAWSON RD, TELKWA, BC, V0J 2X3",250-877-9635,wdranch@bulkley.net,WDiamondranch.ca,https://regenerationcanada.org/en/w-diamond-ranch/,,,https://regenerationcanada.org/en/map/
La Fermette,"Hemmingford, Quebec","146 ch de Covey Hill, Hemmingford, Quebec, J0L1H0",514-799-7188,info@lafermette.ca,lafermette.ca,https://regenerationcanada.org/en/la-fermette/,,,https://regenerationcanada.org/en/map/
Saunders Family Farm & Vineyard,"Lincoln, Ontario","5358 King Street, Lincoln, Ontario L3J 1P2",,saundersfamilyfarm@gmail.com,www.instagram.com/saundersvineyard,https://regenerationcanada.org/en/saunders-family-farm-vineyard/,,,https://regenerationcanada.org/en/map/
Agua Dulce Farm,"Victoria, BC","480 Brookhaven Rd, Victoria, BC, V9E 2A5",+1 2508888788,aguadulcefarm@gmail.com,,https://regenerationcanada.org/en/agua-dulce-farm/,,,https://regenerationcanada.org/en/map/
Divine Colour Acres,"Almonte, ON","1178 Upper Perth Rd, Almonte, ON, K0A 1A0",,divinecolouracres@gmail.com,https://www.divinecolouracres.ca/,https://regenerationcanada.org/en/divine-colour-acres/,,,https://regenerationcanada.org/en/map/
Open Sky Co-operative,"Sackville, NB","12 Folkins Dr, Sackville, NB,E4L 1H9",(506) 536-4565,farmer@openskyco-op.ca,openskyco-op.ca/homepage,https://regenerationcanada.org/en/open-sky-co-operative/,,,https://regenerationcanada.org/en/map/
Merkaba Acres,"Bobcaygeon, Ontario","432 County Rd. 49, Bobcaygeon, Ontario, K0M 1A0",416-726-8866,info@merkabaacres.com,merkabaacres.com,https://regenerationcanada.org/en/merkaba-acres/,,,https://regenerationcanada.org/en/map/
Ferme Rustique,"Sainte-Croix, Québec","4553 4e Rang Ouest, Sainte-Croix, Québec, G0S 2H0",4189300390 ,fermerustique@hotmail.com,fermerustique.com,https://regenerationcanada.org/en/ferme-rustique/,,,https://regenerationcanada.org/en/map/
Les Jardins en Mouvement,"Dunham, Quebec","2766 ch. Noiseux , Dunham, Quebec, J0E 1 M0",4383570977,ljem.info@gmail.com,jardins.dunham.info,https://regenerationcanada.org/en/les-jardins-en-mouvement/,,,https://regenerationcanada.org/en/map/
Ferme la Bourrasque,"saint-nazaire d\'acton, Quebec","312, rang brodeur, saint-nazaire d\'acton, Quebec, J0H 1V0",15143490516,fermelabourrasque@hotmail.com,,https://regenerationcanada.org/en/ferme-la-bourrasque/,,,https://regenerationcanada.org/en/map/
Hickory Hill Forest Farm,"FRANKFORD, ON","162 Flyboy Road, FRANKFORD, ON, K0K 2C0",9059121980,cindyschnaithmann@gmail.com,hickoryhillforestfarm.com,https://regenerationcanada.org/en/hickory-hill-forest-farm/,,,https://regenerationcanada.org/en/map/
Meeting Place Organic Farm,"Lucknow, Ontario","86016 Creek Line, RR 1, Lucknow, Ontario, N0G 2H0",519-528-2493,meetingplaceorganicfarm@gmail.com,www.meetingplaceorganicfarm.ca,https://regenerationcanada.org/en/meeting-place-organic-farm/,,,https://regenerationcanada.org/en/map/
Écoboeuf,"Dupuy, Québec","10e-et-1er Rang E, Dupuy, Quebec, J0Z 1X0",418-806-9171,ecoboeuf@gmail.com,www.ecoboeuf.com,https://regenerationcanada.org/en/ecoboeuf/,,,https://regenerationcanada.org/en/map/
Fleurs de Ferme,"Sainte Christine, Québec","1517 Rang 8, Sainte Christine, Québec, J0H 1H0",450-521-8931,fleursdeferme@gmail.com,www.fleursdeferme.ca,https://regenerationcanada.org/en/fleurs-de-ferme/,,,https://regenerationcanada.org/en/map/
Heidi’s Peak Estate Vineyard Limited,"Okanagan Falls, BC","2140 Sun Valley Way, Okanagan Falls, BC, V0H1R2",5198818372,heidichristine@outlook.com,www.heidisvineyard.com,https://regenerationcanada.org/en/heidis-peak-estate-vineyard-limited/,,,https://regenerationcanada.org/en/map/
Andreas Ventures,"Sheho, Saskatchewan","Box 351, Sheho Saskatchewan, Canada, S0A3T0",306-272-7395,s.andreas@sasktel.net,,https://regenerationcanada.org/en/andreas-ventures/,,,https://regenerationcanada.org/en/map/
Rosy Farms,"Alcomdale, Alberta","57114 Range Road 264, Alcomdale, Alberta, T8R 0Y8",780-951-1015,andrew@rosyfarms.com,www.rosyfarms.com,https://regenerationcanada.org/en/rosy-farms/,,,https://regenerationcanada.org/en/map/
Glen Lake Pasture Farm,"Tarantum, Prince Edward Island","1434 Simpsons Lane-Rt. 255, Tarantum, Prince Edward Island, C1B3H1",9023935119,Travis@glenlakepasture.ca,glenlakepasture.ca,https://regenerationcanada.org/en/glen-lake-pasture-farm/,,,https://regenerationcanada.org/en/map/
Deer Meadow Farmacy,"Oak Lake, Manitoba","139113 Road 51 North, P.O. Box 151, Oak Lake, Manitoba, R0M 1P0",(204) 851-5459,farmfamily@deermeadowfarmacy.com,deermeadowfarmacy.com,https://regenerationcanada.org/en/deer-meadow-farmacy/,,,https://regenerationcanada.org/en/map/
GoodLot Farm + Farmstead Brewing Co.,"Alton, Ontario","18825 Shaws Creek Rd., Alton, Ontario, L7K 1L3",519-927-5881,gail@goodlot.farm,www.goodlot.beer,https://regenerationcanada.org/en/goodlot/,,,https://regenerationcanada.org/en/map/
Ferme Éboulmontaise,"Les Éboulements , Québec","2593 route du fleuve , Les Éboulements , Québec , G0a2m0",4186336767,Commande@fermeeboulmontaise.ca,FermeEboulmontaise.ca,https://regenerationcanada.org/en/ferme-eboulmontaise/,,,https://regenerationcanada.org/en/map/
Ferme Panama et fils SENC,"St-Pierre Baptsite, QC","162 route 165, st-pierre baptsite, QC, G0P1K0",4184283662,sophie.bedard@hotmail.com,facebook.com/FermePanama,https://regenerationcanada.org/en/ferme-panama-et-fils-senc/,,,https://regenerationcanada.org/en/map/
Zinn Farms,"Springstein, Manitoba","Box 26, Springstein, Manitoba, R0G 2N0",204-471-3418,freerange@zinnfarms.com,zinnfarms.com,https://regenerationcanada.org/en/zinn-farms/,,,https://regenerationcanada.org/en/map/
Clanman Jerseys Ltd,"Clanwilliam, Manitoba","Box 132, Clanwilliam, Manitoba, R0J 0K0",204-868-5608,,,https://regenerationcanada.org/en/clanman-jerseys-ltd/,,,https://regenerationcanada.org/en/map/
Benjamin Bridge,"Gaspereau, Nova Scotia","1966 White Rock Road, Gaspereau, Nova Scotia, B4P2R1",1-902-542-1560,wines@benjaminbridge.com,benjaminbridge.com,https://regenerationcanada.org/en/benjamin-bridge/,,,https://regenerationcanada.org/en/map/
Ferme Ridel,"Saint-Césaire, Québec","114 Rang Grande Barbue, Saint-Césaire, Québec, J0L1T0",450-210-0907,jf@ridel.com,www.ridel.com,https://regenerationcanada.org/en/ferme-ridel/,,,https://regenerationcanada.org/en/map/
Safranière des Cantons,"Stanbridge Station, Québec","1304 rang Brais, Stanbridge Station, Québec, J0J 2J0",438-523-9576,frederic.bachand@fermesdc.com,www.safranieredescantons.com,https://regenerationcanada.org/en/safraniere-des-cantons/,,,https://regenerationcanada.org/en/map/
Big Bear Ranch,"HORSEFLY, British Columbia","5647 LINCOLN ROAD, HORSEFLY, British Columbia, V0L 1L0",2506203353,info@bigbearranch.com,bigbearranch.com,https://regenerationcanada.org/en/big-bear-ranch/,,,https://regenerationcanada.org/en/map/
Persephone Garden Market,"Allenford, ON","241063 Conc 3 Keppel, R.R. # 3, Allenford, ON, N0H 1A0",519-935-3005,kristine@persephonedays.ca,https://www.persephonemarketgarden.ca/,https://regenerationcanada.org/en/persephone-market-garden/,,,https://regenerationcanada.org/en/map/
Persephone Brewing Company Farm,"Gibsons, BC","1053 Stewart Road, Gibsons, BC, V0N 1V7",7784623007,brian@thebeerfarm.ca,https://www.persephonebrewing.com/our-farm,https://regenerationcanada.org/en/persephone-brewing-company/,,,https://regenerationcanada.org/en/map/
KPU Farm,"Richmond, British Columbia","Garden City Rd, Richmond, British Columbia, V6X4H9",,kpufarm@kpu.ca,kpu.ca/agriculture/farms,https://regenerationcanada.org/en/kpu-farm/,,,https://regenerationcanada.org/en/map/
Signal ranch,"Fisher branch , Mb","Box 485 , Fisher branch , MB, R0C 0Z0",2043082338,sigurdur50@gmail.com,,https://regenerationcanada.org/en/signal-ranch/,,,https://regenerationcanada.org/en/map/
98 Ranch,"Lake Alma, Saskatchewan","PO Box 59, Lake Alma, Saskatchewan, S0C 1M0",306-447-4600,98ranch.ross@gmail.com,,https://regenerationcanada.org/en/98-ranch-2/,,,https://regenerationcanada.org/en/map/
Vallée Des Prairies,"St-François-de-la-Rivière-du-Sud, Québec","99 chemin Aqueduc, St-François-de-la-Rivière-du-Sud, Québec, G0R 3A0",418-809-7763,bio@valleedesprairies.com,www.valleedesprairies.com,https://regenerationcanada.org/en/vallee-des-prairies/,,,https://regenerationcanada.org/en/map/
