entity_name,category_names,service_names,products,products_rpc_codes,products_rpc_names,email,phone,website,location,profile_url,source_url
Forrest Farm Sheep & Goat Cheese Creamery,Beef; Poultry; Vegetables; Dairy; Honey & bee products; Mixed farming; rpc14,Workshops & trainings; Employment opportunities,"Sheep cheese, goat cheese, lamb meat, Goat meat, pork, flowers, vegetables, eggs, wool yarn",,,,250-777-1186,https://forrestfarmsalmo.com,"Salmo, BC",https://regenerationcanada.org/en/forrest-farm-sheep-amp-goat-cheese-creamery/,https://regenerationcanada.org/en/map/
Ferme la Bourrasque,Vegetables; Value-added products,Farm tour (for general public); Volunteer program; Employment opportunities,"garlic flower, garlic, eggplant, beet, bok choy, broccoli, chamomile, celeriac, Chinese cabbage, cucumber, squash, zucchini, turmeric, spinach, French shallot, fennel, ginger, bean, kale, mesclun, lettuce, onion, onion, sweet potato, leek, bell pepper, hot pepper, potato, rabiole, radish, winter radish, radicchio, arugula, tomato, cherry tomato, parsley, coriander, dill, thyme, sage, chives, rosemary, mint, stevia, oregano",,,fermelabourrasque@hotmail.com,15143490516,,"saint-nazaire d\'acton, Quebec",https://regenerationcanada.org/en/ferme-la-bourrasque/,https://regenerationcanada.org/en/map/
The Knotted Willow Farm and Nursery,Poultry; Vegetables; Fruit; Grains; Honey & bee products; Value-added products; Mixed farming; rpc14,Workshops & trainings; Activities for kids; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public),"Jams, Jellies, Breads, Fruit, Honey, Eggs, Berries, Pastries, Apple trees, Cooking classes, Baking classes, Gardening classes, Apocathery classes, Homegrown teas, Flowers, Homemade candies and Chocolates, Tea garden, Farm to table",,,aguyitt@gmail.com,519-702-7304,https://theknottedwillowfarm.ca,"Muirkirk, Ontario",https://regenerationcanada.org/en/knotted-willow-farm/,https://regenerationcanada.org/en/map/
Joyfully Organic Farm,Vegetables,Farm tour (for other farmers); Farm tour (for general public); Volunteer program,"CSA Boxes, Broccoli, Arugula, Spinach, Lettuce, Garlic, Kale, Radishes, Beets, Carrots, Zucchini, Turnips, Kohlrabi, Cabbage, Parsnips, Potatoes, Sunchokes, Onions, Salad Mixes, Swiss Chard, Rutabaga, Asian Greens, Leeks, Squash, Herbs, Flowers, Tomatoes, Cherry Tomatoes, Eggplant",,,info@joyfullyorganicfarm.ca,,https://joyfullyorganicfarm.ca,"Markham, Ontario",https://regenerationcanada.org/en/joyfully-organic-farm/,https://regenerationcanada.org/en/map/
3x Bar Land & Cattle co.,Beef,Workshops & trainings; Activities for kids; Soil testing; Farm tour (for other farmers); Farm tour (for general public),"Grass-finished beef, Pasture-to-plate chicken",,,3xbarranch@gmail.com,780-933-9272,https://www.3xbarlandandcattle.com,"Goodfare, Alberta",https://regenerationcanada.org/en/3x-bar-ranch/,https://regenerationcanada.org/en/map/
Rustik Bison,Beef,Farm tour (for other farmers); Farm tour (for general public); Farm dinners and events,"Meat cuts, terrines, rillettes, sausages, smoked meats, jerky, sausages, burger patties, hides, horns",,,anoukcaron@rustikbison.ca,8193497023,https://rustikbison.com,"Saint-Herménégilde, Quebec / Québec",https://regenerationcanada.org/en/rustik-bison/,https://regenerationcanada.org/en/map/
Les Bontés de la Vallée,Vegetables; Fruit; Value-added products,Workshops & trainings; Farm tour (for other farmers); Volunteer program; Wwoofing,"Garlic, Amaranth, Dill, Eggplant, Basil, Swiss chard, Beetroot, Bok choi, Broccoli, Chamomile, Cantaloupe, Carrot, Celery, Celeriac, Chervil, Ground cherry, Cherry, Chicory, Cabbage, Chinese cabbage, Cauliflower, Cauliflower, Kohlrabi, Chrysanthemum, Chives, Miner's lettuce, Cucumber, Coriander, Squash, Watercress, Cumin, Daikon, Shallot, Spinach, Fennel, Flowers, Beans, Kale, Lettuce, Lamb's lettuce, Melons, Mesclun, Onions, Sorrel, Parsnip, Pepper, Leek, Peas, Pepper, Purslane, Turnip, Radish, Herbs, Rapini, Arugula, Rutabaga, Tomato, Tomatillo, Zucchini, Greens",,,info@lesbontes.org,438-883-2401,https://www.lesbontes.org,"Havelock, Québec",https://regenerationcanada.org/en/les-bontes-de-la-vallee/,https://regenerationcanada.org/en/map/
Wholesome Pastures,Beef; Poultry; Pork,Farm tour (for general public),"grass fed and finished beef, grass fed and finished lamb, pastured chicken, pastured duck, free range pastured eggs, sheepskins, skin care, zero waste, lip balm, small batch hand poured soap, natural, no preservative, leather earrings, leather bags, leather",,,wholesomepastures@gmail.com,519-933-3501,https://wholesomepastures.ca,"Crediton, ON",https://regenerationcanada.org/en/wholesome-pastures/,https://regenerationcanada.org/en/map/
Heartwood Farm & Cidery,Beef; Fruit; Seeds; Mixed farming,Workshops & trainings; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public),"Craft cider, Maple syrup, Grass-fed beef, Honey, Farm stays",,,info@heartwoodfarm.ca,416-527-4432,https://www.heartwoodfarm.ca,"Acton, Ontario",https://regenerationcanada.org/en/heartwood-farm-cidery/,https://regenerationcanada.org/en/map/
La Fermette,Poultry; Vegetables,Workshops & trainings; Internship program,"Tomatoes, cucumbers, peppers, eggplant, beans, mesclun, lettuce, carrots, radishes, turnips, peas, beets, onions, green onions, herbs, celery, zucchini, eggs, +++",,,info@lafermette.ca,514-799-7188,https://lafermette.ca,"Hemmingford, Quebec",https://regenerationcanada.org/en/la-fermette/,https://regenerationcanada.org/en/map/
Safranière des Cantons,Poultry; Vegetables; Fruit; Grains,Pick-your-own; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Wwoofing,"Vegetables, Grapes, Strawberries, Apples, Pears, Saffron, Paprika, Spices, Eggs, Fruits",,,frederic.bachand@fermesdc.com,438-523-9576,https://www.safranieredescantons.com,"Stanbridge Station, Québec",https://regenerationcanada.org/en/safraniere-des-cantons/,https://regenerationcanada.org/en/map/
Nature’s Way Farm,Beef; Other / multiple categories,Workshops & trainings; Soil testing; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Wwoofing,"Alfalfa seed, Leafcutter Bees, Cattle",,,plundgard@telus.net,780-338-2934,,"Grimshaw, AB",https://regenerationcanada.org/en/natures-way-farm/,https://regenerationcanada.org/en/map/
Sunnie Valley Farms,Beef; Pork,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public),"beef, pork, grain",,,sheehan6@telus.net,780-349-3937,https://sunnievalleyfarms.com,"Westlock Alberta, Alberta",https://regenerationcanada.org/en/sunnie-valley-farms/,https://regenerationcanada.org/en/map/
Clanman Jerseys Ltd,Dairy; Other / multiple categories,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public),"Milk(commercial sales), Grass finished beef, Compost",,,,204-868-5608,,"Clanwilliam, Manitoba",https://regenerationcanada.org/en/clanman-jerseys-ltd/,https://regenerationcanada.org/en/map/
Barnyard Organics Ltd,Beef; Poultry; Pork; Other / multiple categories,Workshops & trainings; Farm tour (for other farmers); Employment opportunities,"Organic feed, eggs, beef, grains",,,info@barnyardorganics.com,902-887-3188,https://barnyardorganics.com,"Freetown, PEI",https://regenerationcanada.org/en/barnyard-organics-ltd/,https://regenerationcanada.org/en/map/
What the Hill Farm,Beef; Fruit; Mixed farming; rpc14; Other / multiple categories,Soil testing,"Lamb, Wool, Birch Syrup, Apples, Mushrooms",,,info@whatthehillfarm.ca,8076306779,https://whatthehillfarm.ca,"Kakabeka Falls, ON",https://regenerationcanada.org/en/what-the-hill-farm/,https://regenerationcanada.org/en/map/
Edible Plant Source,Value-added products,Workshops & trainings,"Permaculture and food forestry edible perennial plants, currants, Blueberries, Goumi, Nut trees, Fruit trees, Nitrogen Fixing Shrubs, Honeyberry, Sour Cherry, Hardy Edible Perennials, Perennial Vegetables, Raspberries",,,Edibleplantsource@gmail.com,2505382380,https://Www.edibleplantsource.com,"Saanich, BC",https://regenerationcanada.org/en/edible-plant-source/,https://regenerationcanada.org/en/map/
Ferme Lionel Angers inc,Pork; Lamb,,"Organic Maple Syrup, Organic Soybeans, Organic Corn",,,frangers@msn.com,4503609797,,"Saint-Cesaire, Québec",https://regenerationcanada.org/en/ferme-lionel-angers-inc/,https://regenerationcanada.org/en/map/
Grassroots Farm,Beef,Farm tour (for other farmers),"Grass fed beef, Woodland pork",,,,613-315-9280,https://Grassrootsfarm.ca,"Rupert, Québec",https://regenerationcanada.org/en/grassroots-farm/,https://regenerationcanada.org/en/map/
Grazing Days Farm,Beef,Farm tour (for other farmers); Farm tour (for general public); Farm dinners and events,"Grass-fed Beef, Pastured Pork, Pastured Chicken",,,info@grazingdays.ca,613-898-9136,https://grazingdays.ca,"St-André-Avellin, Quebec",https://regenerationcanada.org/en/grazing-days-farm/,https://regenerationcanada.org/en/map/
Ferme Éboulmontaise,Beef; Poultry; Vegetables; Fruit,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Wwoofing; Farm dinners and events,"Lamb meat, pork meat, poultry meat, rabbit meat, quail eggs, chicken eggs, wool products, fur products, vegetables, fruits, bulk compost",,,Commande@fermeeboulmontaise.ca,4186336767,https://FermeEboulmontaise.ca,"Les Éboulements , Québec",https://regenerationcanada.org/en/ferme-eboulmontaise/,https://regenerationcanada.org/en/map/
Stony Hill Farm,Poultry; Grains; Other / multiple categories,Workshops & trainings; Activities for kids; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public),"Eggs from grazing hens, Saskatoon berries, Camping",,,brenda@sustainablegrain.ca,204-296-6265,https://stonyhillfarm.ca,"Oakbank, Manitoba",https://regenerationcanada.org/en/stony-hill-farm/,https://regenerationcanada.org/en/map/
Au Petit Boisé,Poultry; Vegetables; Fruit; Grains; Honey & bee products; Value-added products,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Wwoofing,mostly veggie baskets,,,aupetitboise@gmail.com,450-295-2471,https://aupetitboise.com,"Dunham, Quebec",https://regenerationcanada.org/en/au-petit-boise/,https://regenerationcanada.org/en/map/
Diddley Squash Farm,Vegetables,Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Farm dinners and events,"Parsley, Cilantro, Swiss chard, Arugula, Lettuce, Spinach, Turnip, Carrots, Onions, Garlic, Potatoes, Cabbage, Brussel sprouts, Peas, Beans, Corn, Beets, Tomatoes, Peppers, Kale, Cucumbers, Strawberries, Squash, Pumpkins",,,selinkle@aol.com,506-872-4984,https://certified.naturallygrown.org/producers/5639,"Salisbury West, NB, Canada",https://regenerationcanada.org/en/diddley-squash-farm/,https://regenerationcanada.org/en/map/
Hazy Hollow Acres,Beef; Poultry; Vegetables; Grains,Pick-your-own,"Broiler Chickens, Grass-fed Beef, Eggs, Turkeys, Duck eggs, Duck Hatching Eggs, Strawberries, Raspberries, Potatoes, Corn",,,teresavdha@gmail.com,4033080010,https://hazyhollowacres.weebly.com,"Picture Butte, AB",https://regenerationcanada.org/en/hazy-hollow-acres/,https://regenerationcanada.org/en/map/
Integrated Farms,Beef; Poultry; Vegetables; Honey & bee products; Mixed farming; Other / multiple categories,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public),"chicken, beef, pork, eggs, rabbit, honey, turkey",,,info@ifarmfresh.ca,7058350551,https://info@ifarmfresh.ca,"Coldwater, Ontario",https://regenerationcanada.org/en/integrated-farms/,https://regenerationcanada.org/en/map/
Lost Savanna Farm,Beef; Dairy,Activities for kids,"butter, pork, beef",,,lostsavannafarm@gmail.com,250-202-2729,https://lostsavannafarm.com,"Black Creek, BC",https://regenerationcanada.org/en/lost-savanna-farm/,https://regenerationcanada.org/en/map/
Red Roof Farm,Other / multiple categories,,Land stewardship and education are at the heart of the project. We want to create space for land owners to learn about how to be good stewards.,,,branigan.monica@gmail.com,4164584701,,"Creemore, ON",https://regenerationcanada.org/en/red-roof-farm/,https://regenerationcanada.org/en/map/
W Diamond Ranch,Beef,Workshops & trainings; Activities for kids; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public),"Beef, pork, lamb, goat, poultry, value added, inspected custom slaughter, carcass transport, cut/wrap service",,,wdranch@bulkley.net,250-877-9635,https://WDiamondranch.ca,"TELKWA, BC",https://regenerationcanada.org/en/w-diamond-ranch/,https://regenerationcanada.org/en/map/
Wilderland Botanicals,Honey & bee products; Other / multiple categories,Farm tour (for other farmers); Farm tour (for general public),"Rhodiola rosea, Calendula, Camomile, Arnica, Stinging Nettle, Oat Straw, Yarrow, Tinctures, Wet and Dried Roots, Biochar, Compost",,,info@wilderlandbotanicals.com,867-993-3698,https://wilderlandbotanicals.com,"Whitehorse, Yukon",https://regenerationcanada.org/en/wilderland-botanicals/,https://regenerationcanada.org/en/map/
Saunders Family Farm & Vineyard,Fruit; Seeds,Farm tour (for other farmers),Winegrapes: chardonnay - pinot noir - riesling - cabernet franc - merlot,,,saundersfamilyfarm@gmail.com,,https://www.instagram.com/saundersvineyard,"Lincoln, Ontario",https://regenerationcanada.org/en/saunders-family-farm-vineyard/,https://regenerationcanada.org/en/map/
Glen Lake Pasture Farm,Beef; Poultry,Farm tour (for general public),"Heritage Breed Red Wattle Pork, Pasture raised Chicken, Pasture Raised Turkey, Grass Fed Beef, Weaner Pigs for homesteaders/backyard farmers",,,Travis@glenlakepasture.ca,9023935119,https://glenlakepasture.ca,"Tarantum, Prince Edward Island",https://regenerationcanada.org/en/glen-lake-pasture-farm/,https://regenerationcanada.org/en/map/
Le Verger Labonté,Fruit; Vegetables; Poultry,Workshops & trainings; Activities for kids; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public),"Apples, pears, pumpkins, squash, garlic, plums, processed apple products",,,nathalie.gervais@vergerlabonte.com,5149837379,https://vergerlabonte.com,"Notre-Dame-De-L\'île-Perrot, QC",https://regenerationcanada.org/en/le-verger-labonte/,https://regenerationcanada.org/en/map/
Ferme Vimo (2010) Inc.,Pork; Dairy,Soil testing,"Milk (Commercial sale), Wheat (Commercial sale)",,,fermevimo@hotmail.com,819-560-1325,,"Hatley, Québec",https://regenerationcanada.org/en/ferme-vimo/,https://regenerationcanada.org/en/map/
Oneka,Other / multiple categories,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public),Body care products,,,contact@onekaelements.com,450-298-5352,https://www.onekaelements.com,"Frelighsburg, Québec",https://regenerationcanada.org/en/oneka/,https://regenerationcanada.org/en/map/
Houle Farm,Beef; Pork; Lamb,Farm tour (for other farmers),"Corn, Soybeans, Small Grains, Pastured Pork, Free Range Chicken, Free Range Turkeys",,,fermehoulefarm@gmail.com,613-402-3061,,"Curran, ON, CA",https://regenerationcanada.org/en/houle-farm/,https://regenerationcanada.org/en/map/
La Balzane_Sol Vivant à l\'Oeuvre,Beef; Poultry; Other / multiple categories,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Farm dinners and events; Employment opportunities,"Beef, pork, chicken, lamb, eggs, cosmetics and skin care products made 100% with animal fat as the base",,,domainelabalzane@gmail.com,5148333528,https://labalzane.ca,"Saint-Simon-de-Bagot, Québec",https://regenerationcanada.org/en/la-balzanesol-vivant-a-loeuvre/,https://regenerationcanada.org/en/map/
Coen Farm,Beef; Poultry; Pork; Vegetables; Dairy; Fruit; Grains,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Milk-Fed Pork, Grass-Fed Beef, Pasture Raised Eggs, Forest Garden Fruits, Consulting, Tours, Books",,,,,https://www.coenfarm.ca,"Ferintosh, AB",https://regenerationcanada.org/en/coen-farm/,https://regenerationcanada.org/en/map/
Les jardins de l\'écoumène,Other / multiple categories,Workshops & trainings; Activities for kids; Farm tour (for general public); Internship program,Vegetable and herb seeds,,,guylaine@ecoumene.com,14508982855,https://ecoumene.com,"St-Damien, QC",https://regenerationcanada.org/en/les-jardins-de-lecoumene-inc/,https://regenerationcanada.org/en/map/
Tru Pure Farms,Vegetables; Other / multiple categories,Workshops & trainings; Soil testing,"Tomatoes, Potatoes, Artichokes, Lettuce, Other produce, Compost",,,info@stangls.com,905-641-8133,,"ST. Catharines, ON",https://regenerationcanada.org/en/tru-pure-farms/,https://regenerationcanada.org/en/map/
Riverdale Farm & Forest Inc.,Poultry; Vegetables; Fruit; Grains; Other / multiple categories,Farm tour (for other farmers); Farm tour (for general public); Farm dinners and events,"Eggs, Potatoes, Kale, Garlic, Cabbage, Tomatoes, Carrots, Beets, Parsnips, Onions, Mushroom, Sea Buckthorn Berries, Pears, Compost",,,,905-588-0085,https://riverdalefarmandforest.ca,"Inglewood, ON, CA",https://regenerationcanada.org/en/riverdale-farm-forest-inc/,https://regenerationcanada.org/en/map/
Ferme maraîchère le Baluchon s.e.n.c.,Poultry; Vegetables; Honey & bee products,,"Carrots, Beets, Lettuce, Spinach, Herbs, Swiss chard, Kale, Broccoli, Cabbage, Chinese cabbage, Rutabaga, Radishes, Tomatoes, Bell peppers, Chili peppers, Cucumbers, Summer squash, Winter squash, Pumpkins, Onions, Beans, Sweet peas, Mesclun, Rhubarb, Sorrel, Arugula, Eggs, Flowers",,,info@fermelebaluchon.com,450-451-1116,https://www.fermelebaluchon.com,"Rigaud, Québec",https://regenerationcanada.org/en/ferme-le-baluchon/,https://regenerationcanada.org/en/map/
Highfield Regenerative Farm,Vegetables; Honey & bee products; Other / multiple categories,Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Farm dinners and events,"Greens, MicroGreens, Flowers, Compost, Worm Castings, Soil Mixes, Compost Extract, Garlic",,,highfieldregenerativefarm@gmail.com,403-605-6669,https://www.highfieldfarm.ca,"Calgary, Alberta",https://regenerationcanada.org/en/highfield-regenerative-farm/,https://regenerationcanada.org/en/map/
Ravenwood Farm,Beef; Poultry; Vegetables; Fruit; Grains; Mixed farming,Volunteer program; Internship program; Wwoofing; Employment opportunities,"Black Currant Products, Honey, Eggs, Beef boxes, Raspberries",,,ravenwoodfarmbc@xplornet.ca,7886919905,https://ravenwoodfarm.ca,"Groundbirch, BC",https://regenerationcanada.org/en/ravenwood-farm/,https://regenerationcanada.org/en/map/
Lightfoot & Wolfville Vineyards,Seeds,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Internship program,"wine, wine grapes",,,info@lightfootandwolfville.com,902-542-7774,https://lightfootandwolfville.com,"Wolfville, Nova Scotia",https://regenerationcanada.org/en/lightfoot-wolfville-vineyards/,https://regenerationcanada.org/en/map/
Andreas Ventures,Beef; Pork; Lamb; Mixed farming,Farm tour (for other farmers); Farm tour (for general public),"beef, oats, peas, flax, barley, honey",,,s.andreas@sasktel.net,306-272-7395,,"Sheho, Saskatchewan",https://regenerationcanada.org/en/andreas-ventures/,https://regenerationcanada.org/en/map/
Pure Pasture Products,Beef; Poultry,Workshops & trainings; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Beef, Pork, Goats, Eggs, Chicken, Turkey",,,purepastureproducts@gmail.com,780-864-8093,https://www.purepastureproducts.com,"Rose Prairie, British Columbia",https://regenerationcanada.org/en/pure-pasture-products/,https://regenerationcanada.org/en/map/
Cold Springs Organics,Vegetables; Other / multiple categories,,organic vegetables,,,coldspringsorganics@gmail.com,4162099196,https://coldspringsorganics.com,"Campbellcroft, Ontario",https://regenerationcanada.org/en/cold-springs-organics/,https://regenerationcanada.org/en/map/
StoneCroft Farm,Beef; Pork; Grains,Pick-your-own; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Farm dinners and events,"Turkey, Ground turkey, Turkey sausages, Turkey rolls, Whole cereal grains, Blueberries",,,glenandkathybeaton@live.com,250-334-7159,,"Black Creek, British Colombia",https://regenerationcanada.org/en/stonecroft-farm/,https://regenerationcanada.org/en/map/
Ferme Panama et fils SENC,Dairy,,Grass-fed milk,,,sophie.bedard@hotmail.com,4184283662,https://facebook.com/FermePanama,"St-Pierre Baptsite, QC",https://regenerationcanada.org/en/ferme-panama-et-fils-senc/,https://regenerationcanada.org/en/map/
Boule Creek Farms,Pork,Farm tour (for other farmers),"Durum, Wheat, Canola, Barley, Lentils",,,farmerleyen@gmail.com,,,"Admiral, Saskatchewan",https://regenerationcanada.org/en/boule-creek-farms/,https://regenerationcanada.org/en/map/
Bla-Kar Farms,Beef; Pork,Farm tour (for other farmers); Farm tour (for general public),"Non GMO corn, Non GMO soybeans, Winter Wheat, Cover Crop Seed",,,e.blakevince@gmail.com,519-359-0924,,"Merlin, Ontario",https://regenerationcanada.org/en/bla-kar-farms/,https://regenerationcanada.org/en/map/
Persephone Brewing Company Farm,Poultry; Vegetables; Fruit; Grains; Other / multiple categories,Farm tour (for general public),"Raspberries, Apples, Greens, Blueberries",,,brian@thebeerfarm.ca,7784623007,https://www.persephonebrewing.com/our-farm,"Gibsons, BC",https://regenerationcanada.org/en/persephone-brewing-company/,https://regenerationcanada.org/en/map/
re.Planted Farm & Florals,Vegetables; Honey & bee products,Workshops & trainings; Activities for kids; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public); Volunteer program,"Vegetables, Microgreens, Cut Flowers, Seedlings, Dahlia Tubers, Tulip Bulbs, Wedding Flowers",,,letschat@replantedfarm.ca,6399160315,https://replantedfarm.ca,"Deep River, Ontario",https://regenerationcanada.org/en/replanted-farm-amp-florals/,https://regenerationcanada.org/en/map/
Field Good Farms / La ferme j\'me champ bien,Vegetables; Grains; Other / multiple categories,Farm tour (for other farmers); Volunteer program; Internship program; Wwoofing,"Vegetables, Herbal Teas, Berries",,,info@fieldgoodfarms.ca,7059781664,https://fieldgoodfarms.ca,"Cache Bay, Ontario",https://regenerationcanada.org/en/field-good-farms-la-ferme-jme-champ-bien/,https://regenerationcanada.org/en/map/
Springfield Farm,Vegetables; Honey & bee products; Mixed farming,Activities for kids; Farm tour (for other farmers); Farm tour (for general public),"Hulless Oats, Maple Syrup, Honey, Potatoes, Garlic, Basil, Thyme, Horseradish, Sunflowers, Squash",,,springfieldfarmorganics@gmail.com,6135280083,https://springfieldfarmorganics.ca,"Apple Hill, Ontario",https://regenerationcanada.org/en/springfield-farm-2/,https://regenerationcanada.org/en/map/
La VAM Box,Poultry; Vegetables; Fruit; Honey & bee products,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Mixed vegetable baskets by the unit or subscription, Flower bouquets by the unit or subscription, Online boutique, Eco-responsible farm products",,,audrey@bogemans.ca,514-617-6207,,"St-Sebastien, Québec",https://regenerationcanada.org/en/la-vam-box/,https://regenerationcanada.org/en/map/
La Station (Ferme Pierre Bolduc enr),Pork; Dairy,Farm tour (for other farmers); Farm tour (for general public); Internship program; Farm dinners and events,"Milk, Cheese, Hay, Wheat, Barley, Soy, Corn, Maple syrup",,,,8196744840,https://fromagerielastation.com,"Compton, Québec",https://regenerationcanada.org/en/la-station/,https://regenerationcanada.org/en/map/
Crescentwood Farms Ltd.,Beef; Pork; Lamb; Other / multiple categories,Farm equipment sharing; Farm tour (for other farmers); Volunteer program; Internship program,"Hard Red Spring Wheat, Yellow Peas, Perennial Ryegrass, Oats, Malt Barley, Canola, Fall Rye, Pastured Pork, Flax, Hairy Vetch, Timber Frame Structures, Hay",,,CrescentwoodFarms@posteo.ca,+1 431 761 7881,https://crescentwood.ca,"Russell, Manitoba",https://regenerationcanada.org/en/crescentwood-farms-ltd/,https://regenerationcanada.org/en/map/
Ferme de l\'odyssee,Pork; Lamb; Vegetables,Farm equipment sharing; Farm tour (for other farmers),"Corn, Soy, Rye, Hairy vetch, Forage peas, Leeks, Squash, Pumpkin seeds",,,sebastien.angers.regen@gmail.com,819-448-2383,https://www.fermedelodyssee.ca,"Sainte-Monique, Québec",https://regenerationcanada.org/en/ferme-de-lodyssee/,https://regenerationcanada.org/en/map/
Kirkview Farms,Beef; Poultry; Mixed farming,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Volunteer program,"100% Grass Fed Beef, Pastured Chicken, Pastured Turkey, Seasonal Pastured Eggs, Naturally Raised Pork, Maple Syrup, Maple Butter",,,info@kirkviewfarms.ca,289-680-8684,https://www.kirkviewfarms.ca,"Dalkeith, Ontario",https://regenerationcanada.org/en/kirkview-farms/,https://regenerationcanada.org/en/map/
Patch Farm,Beef; Poultry,Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public),"Beef, Pork, Chicken, Turkey, Eggs",,,fermepatchfarm@gmail.com,450-775-8698,https://facebook.com/fermepatchfarm,"Brome, Québec",https://regenerationcanada.org/en/patch-farm_/,https://regenerationcanada.org/en/map/
Cardale Grain Corp.,Pork; Lamb,Workshops & trainings; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Flour, Red Fife Wheat, HRS Wheat, Oats, Peas, Barley, Canola, Fababeans, Camelina, Hay",,,chrisraupers@hotmail.com,204-868-5329,https://engrainedflour.ca/,"Newdale, MB",https://regenerationcanada.org/en/cardale-grain-corp/,https://regenerationcanada.org/en/map/
